Month,Open,High,Low,Last,Change,Settle,Est. Volume,Prior day OI
JUN 25,57.25,59.84,57.03,59.00,+1.96,59.09,"343,893","268,635"
JLY 25,56.82,59.37,56.67,58.55B,+1.93,58.68,"210,573","240,610"
AUG 25,56.51,58.98,56.40A,58.19A,+1.84,58.30,"113,236","130,829"
SEP 25,56.29,58.66,56.20A,57.90A,+1.78,58.02,"83,709","155,014"
OCT 25,56.24,58.48,56.11A,57.72,+1.73,57.88,"45,187","95,378"
NOV 25,56.29,58.43B,56.20A,57.73B,+1.69,57.87,"31,198","79,841"
DEC 25,56.32,58.50,56.27A,57.81A,+1.67,57.95,"96,454","232,433"
JAN 26,56.98,58.50B,56.95,57.86,+1.65,58.05,"10,655","47,727"
FEB 26,57.11,58.34,57.11,58.13A,+1.64,58.18,"5,343","30,981"
MAR 26,57.03,58.75B,57.03,58.22A,+1.63,58.32,"14,454","66,813"
APR 26,57.95,58.67,57.87,58.36B,+1.62,58.48,"2,780","22,411"
MAY 26,57.48,58.95,57.48,58.64A,+1.61,58.65,"2,632","23,948"
JUN 26,57.35,59.22,57.26A,58.66A,+1.59,58.81,"23,954","114,054"
JLY 26,-,59.15B,-,59.15B,+1.57,58.92,548,"23,775"
AUG 26,58.90,58.99B,58.90,58.90B,+1.57,59.03,362,"14,349"
SEP 26,58.19,59.21B,58.19,58.57B,+1.55,59.14,"1,164","30,634"
OCT 26,58.69,59.10B,58.69,58.69B,+1.53,59.26,344,"15,502"
NOV 26,-,59.21B,-,59.21B,+1.52,59.40,628,"22,383"
DEC 26,58.18,59.84,58.09A,59.34B,+1.51,59.54,"37,663","141,355"
JAN 27,-,59.39B,-,59.39B,+1.49,59.62,555,"14,880"
FEB 27,-,59.45B,-,59.45B,+1.46,59.70,90,"3,743"
MAR 27,-,59.80B,-,59.80B,+1.45,59.81,85,"10,974"
APR 27,-,59.66B,-,59.66B,+1.43,59.92,4,"2,340"
MAY 27,-,59.77B,-,59.77B,+1.41,60.05,"3,038","2,793"
JUN 27,59.00,60.39,59.00,60.04B,+1.38,60.18,"9,858","31,693"
JLY 27,-,59.95B,-,59.95B,+1.35,60.26,"3,098","2,151"
AUG 27,-,59.95B,-,59.95B,+1.34,60.34,32,"1,312"
SEP 27,-,60.40B,-,60.40B,+1.31,60.42,78,"5,865"
OCT 27,-,60.19B,-,60.19B,+1.28,60.51,44,"1,130"
NOV 27,-,60.30B,-,60.30B,+1.25,60.63,97,"2,691"
DEC 27,59.93,60.90,59.93,60.41B,+1.21,60.72,"11,381","62,218"
JAN 28,-,60.43B,-,60.43B,+1.18,60.76,7,"2,050"
FEB 28,-,60.43B,-,60.43B,+1.18,60.83,26,351
MAR 28,-,60.80B,-,60.80B,+1.14,60.90,0,"2,556"
APR 28,-,60.56B,-,60.56B,+1.13,60.97,0,125
MAY 28,-,60.57B,-,60.57B,+1.09,61.06,0,50
JUN 28,-,60.67B,-,60.67B,+1.02,61.13,333,"7,132"
JLY 28,-,-,-,-,+.99,61.17,0,40
AUG 28,-,-,-,-,+.97,61.23,0,0
SEP 28,-,-,-,-,+.94,61.25,0,0
OCT 28,-,-,-,-,+.91,61.30,0,900
NOV 28,-,-,-,-,+.89,61.39,0,"2,000"
DEC 28,61.28,61.50,61.11,61.11,+.86,61.45,"3,194","25,135"
JAN 29,-,-,-,-,+.84,61.45,0,200
FEB 29,-,-,-,-,+.82,61.44,0,750
MAR 29,-,-,-,-,+.80,61.50,0,140
APR 29,-,-,-,-,+.77,61.58,0,0
MAY 29,-,-,-,-,+.75,61.61,0,0
JUN 29,-,-,-,-,+.73,61.67,0,"2,162"
JLY 29,-,-,-,-,+.70,61.65,0,0
AUG 29,-,-,-,-,+.67,61.65,0,1
SEP 29,-,-,-,-,+.64,61.67,0,0
OCT 29,-,-,-,-,+.61,61.74,0,0
NOV 29,-,-,-,-,+.58,61.76,0,0
DEC 29,-,61.61B,-,61.61B,+.55,61.79,"1,456","8,737"
JAN 30,-,-,-,-,+.54,61.76,0,0
FEB 30,-,-,-,-,+.53,61.76,0,0
MAR 30,-,-,-,-,+.53,61.75,0,50
APR 30,-,-,-,-,+.52,61.78,0,0
MAY 30,-,-,-,-,+.51,61.81,0,0
JUN 30,-,-,-,-,+.50,61.84,0,150
JLY 30,-,-,-,-,+.48,61.78,0,0
AUG 30,-,-,-,-,+.45,61.80,0,0
SEP 30,-,-,-,-,+.43,61.75,0,0
OCT 30,-,-,-,-,+.40,61.76,0,0
NOV 30,-,-,-,-,+.38,61.82,0,0
DEC 30,-,61.65B,-,61.65B,+.35,61.83,570,"4,106"
JAN 31,-,-,-,-,+.35,61.74,0,0
FEB 31,-,-,-,-,+.34,61.74,0,0
MAR 31,-,-,-,-,+.34,61.70,0,0
APR 31,-,-,-,-,+.34,61.73,0,0
MAY 31,-,-,-,-,+.33,61.75,0,0
JUN 31,-,-,-,-,+.33,61.77,0,0
JLY 31,-,-,-,-,+.30,61.70,0,4
AUG 31,-,-,-,-,+.27,61.71,0,0
SEP 31,-,-,-,-,+.25,61.66,0,0
OCT 31,-,-,-,-,+.22,61.68,0,0
NOV 31,-,-,-,-,+.19,61.64,0,0
DEC 31,-,-,-,-,+.16,61.64,107,946
JAN 32,-,-,-,-,+.16,61.56,0,0
FEB 32,-,-,-,-,+.16,61.51,0,0
MAR 32,-,-,-,-,+.16,61.49,0,0
APR 32,-,-,-,-,+.16,61.51,0,0
MAY 32,-,-,-,-,+.16,61.48,0,0
JUN 32,-,-,-,-,+.17,61.47,0,0
JLY 32,-,-,-,-,+.17,61.39,0,0
AUG 32,-,-,-,-,+.17,61.31,0,0
SEP 32,-,-,-,-,+.17,61.25,0,0
OCT 32,-,-,-,-,+.17,61.21,0,0
NOV 32,-,-,-,-,+.17,61.20,0,0
DEC 32,-,-,-,-,+.17,61.20,596,"2,937"
JAN 33,-,-,-,-,+.18,61.13,0,0
FEB 33,-,-,-,-,+.18,61.05,0,0
MAR 33,-,-,-,-,+.19,60.96,0,0
APR 33,-,-,-,-,+.19,60.93,0,0
MAY 33,-,-,-,-,+.20,60.90,0,0
JUN 33,-,-,-,-,+.20,60.87,0,0
JLY 33,-,-,-,-,+.21,60.82,0,0
AUG 33,-,-,-,-,+.22,60.76,0,0
SEP 33,-,-,-,-,+.24,60.67,0,0
OCT 33,-,-,-,-,+.25,60.61,0,0
NOV 33,-,-,-,-,+.26,60.53,0,0
DEC 33,-,-,-,-,+.27,60.50,0,78
JAN 34,-,-,-,-,+.28,60.39,0,0
FEB 34,-,-,-,-,+.29,60.31,0,0
MAR 34,-,-,-,-,+.31,60.24,0,0
APR 34,-,-,-,-,+.32,60.17,0,0
MAY 34,-,-,-,-,+.33,60.12,0,0
JUN 34,-,-,-,-,+.34,60.05,0,0
JLY 34,-,-,-,-,+.34,59.97,0,0
AUG 34,-,-,-,-,+.34,59.93,0,0
SEP 34,-,-,-,-,+.34,59.85,0,0
OCT 34,-,-,-,-,+.34,59.77,0,0
NOV 34,-,-,-,-,+.34,59.71,0,0
DEC 34,-,-,-,-,+.34,59.63,0,3
JAN 35,-,-,-,-,+.34,59.54,0,0
FEB 35,-,-,-,-,+.34,59.45,0,0
MAR 35,-,-,-,-,+.34,59.36,0,0
APR 35,-,-,-,-,+.34,59.28,0,0
MAY 35,-,-,-,-,+.34,59.23,0,0
JUN 35,-,-,-,-,+.34,59.15,0,0
JLY 35,-,-,-,-,+.34,59.09,0,0
AUG 35,-,-,-,-,+.34,59.01,0,0
SEP 35,-,-,-,-,+.34,58.92,0,0
OCT 35,-,-,-,-,+.34,58.86,0,0
NOV 35,-,-,-,-,+.34,58.80,0,0
DEC 35,-,-,-,-,+.34,58.73,0,0
JAN 36,-,-,-,-,+.34,58.66,0,0
FEB 36,-,-,-,-,+.34,58.60,0,0
